0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,img_filename
63.0,25.0,0.0,0.0,0.0,0.0,0.0,12.0,52.0,22.0,2.0,0.0,0.0,0.0,12.0,54.0,50.0,12.0,2.0,0.0,0.0,0.0,47.0,125.0,23.0,5.0,4.0,0.0,0.0,0.0,98.0,125.0,20.0,117.0,6.0,0.0,0.0,0.0,0.0,0.0,53.0,125.0,42.0,0.0,0.0,0.0,0.0,8.0,125.0,125.0,15.0,0.0,0.0,0.0,1.0,29.0,64.0,72.0,119.0,12.0,0.0,0.0,5.0,31.0,17.0,37.0,3.0,0.0,0.0,0.0,0.0,3.0,125.0,61.0,14.0,0.0,0.0,0.0,0.0,30.0,125.0,46.0,12.0,3.0,3.0,3.0,3.0,55.0,14.0,22.0,102.0,43.0,15.0,5.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,107.0,0.0,0.0,0.0,12.0,27.0,19.0,125.0,1.0,0.0,2.0,8.0,56.0,63.0,13.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,49.0,5.0,1.0,0.0,0.0,0.0,1.0,21.0,35.0,51.0,77.0,14.0,4.0,0.0,0.0,28.0,6.0,19.0,35.0,20.0,45.0,32.0,25.0,53.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,154.0,36.0,1.0,1.0,1.0,0.0,0.0,36.0,87.0,18.0,10.0,28.0,42.0,13.0,3.0,24.0,119.0,3.0,4.0,7.0,7.0,4.0,5.0,130.0,82.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,heart_1.png
10.0,62.0,101.0,0.0,0.0,0.0,0.0,3.0,129.0,143.0,43.0,0.0,0.0,0.0,0.0,7.0,70.0,113.0,131.0,27.0,2.0,0.0,0.0,2.0,0.0,4.0,143.0,89.0,0.0,0.0,0.0,0.0,56.0,83.0,62.0,0.0,0.0,0.0,0.0,0.0,143.0,59.0,9.0,0.0,0.0,1.0,3.0,42.0,76.0,12.0,24.0,22.0,12.0,50.0,54.0,32.0,0.0,0.0,37.0,19.0,3.0,43.0,60.0,2.0,71.0,30.0,2.0,0.0,0.0,0.0,0.0,1.0,143.0,60.0,0.0,0.0,0.0,0.0,1.0,25.0,143.0,7.0,0.0,1.0,14.0,46.0,83.0,72.0,0.0,0.0,1.0,23.0,48.0,79.0,66.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,31.0,0.0,0.0,2.0,13.0,4.0,3.0,16.0,0.0,0.0,1.0,26.0,37.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,0.0,0.0,0.0,0.0,1.0,8.0,15.0,27.0,26.0,17.0,16.0,19.0,1.0,7.0,4.0,1.0,6.0,11.0,20.0,106.0,61.0,20.0,62.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,141.0,20.0,0.0,1.0,2.0,6.0,10.0,98.0,59.0,9.0,9.0,11.0,36.0,62.0,21.0,61.0,91.0,1.0,3.0,4.0,9.0,25.0,39.0,141.0,78.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,heart_10.png
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,27.0,13.0,11.0,38.0,14.0,0.0,0.0,1.0,11.0,5.0,6.0,126.0,43.0,0.0,0.0,8.0,19.0,3.0,11.0,17.0,1.0,0.0,2.0,67.0,63.0,2.0,6.0,69.0,0.0,0.0,0.0,7.0,5.0,18.0,83.0,31.0,2.0,0.0,0.0,1.0,126.0,124.0,59.0,126.0,7.0,0.0,2.0,18.0,19.0,49.0,126.0,26.0,4.0,0.0,18.0,126.0,34.0,7.0,9.0,126.0,24.0,0.0,3.0,12.0,1.0,0.0,20.0,9.0,2.0,0.0,0.0,0.0,98.0,126.0,47.0,2.0,0.0,0.0,0.0,35.0,101.0,126.0,108.0,6.0,2.0,0.0,1.0,126.0,126.0,11.0,2.0,120.0,42.0,0.0,0.0,16.0,7.0,0.0,1.0,16.0,51.0,49.0,8.0,0.0,0.0,11.0,30.0,118.0,130.0,10.0,0.0,0.0,0.0,1.0,55.0,89.0,103.0,51.0,3.0,0.0,1.0,3.0,40.0,2.0,10.0,103.0,24.0,30.0,25.0,5.0,3.0,51.0,63.0,84.0,24.0,0.0,0.0,0.0,6.0,130.0,130.0,13.0,1.0,0.0,0.0,0.0,14.0,70.0,77.0,111.0,64.0,2.0,0.0,0.0,1.0,0.0,9.0,130.0,59.0,2.0,0.0,0.0,0.0,78.0,4.0,3.0,3.0,0.0,0.0,0.0,39.0,heart_100.png
2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,38.0,1.0,0.0,0.0,0.0,0.0,3.0,64.0,128.0,0.0,0.0,0.0,0.0,0.0,6.0,128.0,40.0,0.0,0.0,0.0,0.0,9.0,68.0,113.0,27.0,2.0,1.0,0.0,0.0,0.0,0.0,11.0,128.0,5.0,0.0,0.0,0.0,0.0,13.0,128.0,90.0,16.0,1.0,0.0,0.0,0.0,50.0,128.0,120.0,38.0,8.0,0.0,0.0,5.0,42.0,128.0,24.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,128.0,102.0,0.0,0.0,0.0,0.0,1.0,26.0,69.0,128.0,26.0,0.0,0.0,0.0,4.0,29.0,40.0,128.0,84.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,56.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,128.0,41.0,0.0,0.0,0.0,0.0,0.0,20.0,101.0,38.0,0.0,0.0,0.0,0.0,4.0,35.0,64.0,3.0,0.0,0.0,0.0,0.0,1.0,131.0,131.0,0.0,0.0,0.0,0.0,0.0,14.0,131.0,122.0,15.0,1.0,0.0,0.0,6.0,52.0,30.0,34.0,67.0,92.0,8.0,1.0,15.0,34.0,55.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,131.0,82.0,2.0,0.0,0.0,0.0,0.0,42.0,131.0,89.0,89.0,15.0,0.0,0.0,0.0,24.0,4.0,25.0,131.0,77.0,0.0,0.0,0.0,0.0,18.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,heart_1000.png
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,110.0,0.0,0.0,0.0,0.0,0.0,55.0,139.0,23.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,10.0,0.0,0.0,1.0,1.0,27.0,88.0,26.0,1.0,0.0,3.0,31.0,12.0,87.0,109.0,35.0,1.0,0.0,1.0,4.0,25.0,100.0,108.0,65.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,139.0,53.0,2.0,2.0,2.0,0.0,0.0,14.0,70.0,18.0,3.0,7.0,28.0,4.0,6.0,93.0,89.0,6.0,18.0,7.0,2.0,1.0,11.0,139.0,92.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,139.0,14.0,0.0,0.0,0.0,0.0,0.0,36.0,110.0,7.0,4.0,9.0,3.0,0.0,0.0,110.0,31.0,7.0,65.0,97.0,7.0,0.0,0.0,35.0,29.0,5.0,0.0,0.0,0.0,0.0,2.0,6.0,128.0,20.0,0.0,0.0,0.0,0.0,0.0,27.0,128.0,7.0,1.0,0.0,0.0,0.0,47.0,128.0,17.0,5.0,1.0,1.0,23.0,56.0,126.0,76.0,35.0,1.0,0.0,0.0,1.0,2.0,2.0,12.0,128.0,11.0,0.0,0.0,0.0,0.0,0.0,103.0,128.0,106.0,29.0,0.0,0.0,0.0,1.0,69.0,24.0,124.0,74.0,7.0,35.0,27.0,6.0,12.0,33.0,8.0,0.0,1.0,1.0,0.0,0.0,2.0,heart_1001.png
2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,64.0,11.0,1.0,0.0,0.0,0.0,0.0,3.0,30.0,85.0,62.0,1.0,0.0,0.0,0.0,0.0,1.0,61.0,108.0,1.0,0.0,0.0,0.0,79.0,38.0,0.0,0.0,0.0,0.0,0.0,1.0,157.0,94.0,4.0,1.0,0.0,1.0,2.0,15.0,37.0,15.0,17.0,31.0,16.0,47.0,12.0,13.0,0.0,0.0,3.0,22.0,9.0,26.0,9.0,6.0,156.0,9.0,0.0,0.0,0.0,0.0,0.0,10.0,157.0,24.0,0.0,0.0,0.0,1.0,2.0,44.0,89.0,2.0,0.0,0.0,3.0,95.0,63.0,67.0,1.0,0.0,0.0,0.0,16.0,127.0,19.0,4.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,157.0,2.0,0.0,0.0,0.0,0.0,0.0,125.0,95.0,3.0,3.0,35.0,32.0,33.0,29.0,92.0,0.0,0.0,1.0,31.0,82.0,66.0,5.0,1.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,83.0,25.0,14.0,1.0,2.0,3.0,5.0,19.0,6.0,27.0,55.0,5.0,15.0,14.0,12.0,106.0,2.0,3.0,4.0,1.0,9.0,28.0,73.0,101.0,29.0,0.0,0.0,0.0,0.0,0.0,2.0,164.0,54.0,0.0,1.0,1.0,5.0,11.0,38.0,62.0,2.0,0.0,6.0,24.0,69.0,41.0,43.0,164.0,15.0,12.0,4.0,2.0,7.0,6.0,53.0,140.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,heart_1002.png
23.0,3.0,1.0,0.0,0.0,0.0,0.0,8.0,124.0,1.0,0.0,0.0,0.0,0.0,0.0,133.0,104.0,18.0,8.0,2.0,1.0,0.0,1.0,119.0,42.0,131.0,20.0,1.0,0.0,0.0,1.0,10.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,133.0,5.0,0.0,0.0,0.0,2.0,3.0,133.0,52.0,4.0,4.0,3.0,13.0,38.0,22.0,60.0,32.0,56.0,6.0,2.0,3.0,6.0,24.0,12.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,133.0,105.0,1.0,0.0,0.0,1.0,1.0,16.0,95.0,91.0,18.0,0.0,1.0,33.0,64.0,15.0,3.0,6.0,26.0,5.0,1.0,18.0,101.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,119.0,23.0,0.0,0.0,0.0,0.0,0.0,20.0,133.0,133.0,0.0,0.0,0.0,3.0,1.0,0.0,25.0,133.0,23.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,1.0,0.0,0.0,0.0,0.0,28.0,80.0,8.0,0.0,0.0,0.0,0.0,0.0,35.0,106.0,7.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,158.0,8.0,0.0,0.0,1.0,2.0,19.0,124.0,35.0,1.0,0.0,0.0,21.0,67.0,158.0,91.0,2.0,0.0,0.0,0.0,3.0,76.0,158.0,52.0,52.0,13.0,0.0,0.0,1.0,0.0,0.0,2.0,heart_1004.png
15.0,81.0,39.0,2.0,0.0,1.0,2.0,1.0,71.0,35.0,17.0,3.0,1.0,2.0,13.0,60.0,133.0,19.0,21.0,6.0,0.0,0.0,1.0,129.0,38.0,15.0,62.0,124.0,10.0,0.0,0.0,15.0,48.0,103.0,52.0,0.0,0.0,0.0,0.0,1.0,133.0,66.0,14.0,2.0,0.0,0.0,0.0,56.0,108.0,18.0,39.0,94.0,19.0,1.0,0.0,34.0,2.0,4.0,95.0,133.0,9.0,2.0,1.0,1.0,65.0,68.0,2.0,0.0,0.0,0.0,0.0,0.0,133.0,133.0,2.0,2.0,1.0,0.0,0.0,8.0,73.0,44.0,6.0,42.0,37.0,33.0,32.0,15.0,0.0,0.0,3.0,17.0,14.0,57.0,62.0,2.0,15.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,133.0,44.0,0.0,0.0,0.0,0.0,0.0,3.0,76.0,9.0,0.0,0.0,1.0,15.0,26.0,25.0,0.0,0.0,0.0,0.0,6.0,50.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,125.0,7.0,0.0,0.0,0.0,2.0,4.0,65.0,20.0,16.0,28.0,9.0,6.0,11.0,6.0,19.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,178.0,2.0,0.0,0.0,1.0,2.0,1.0,27.0,178.0,15.0,0.0,0.0,2.0,16.0,17.0,138.0,30.0,3.0,1.0,4.0,29.0,110.0,27.0,42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,heart_1005.png
125.0,13.0,1.0,0.0,0.0,0.0,0.0,32.0,132.0,7.0,0.0,0.0,0.0,0.0,0.0,74.0,132.0,43.0,23.0,6.0,0.0,0.0,0.0,41.0,41.0,65.0,132.0,35.0,0.0,0.0,0.0,3.0,104.0,75.0,8.0,0.0,0.0,0.0,0.0,15.0,132.0,80.0,3.0,2.0,0.0,0.0,0.0,11.0,87.0,24.0,51.0,107.0,1.0,0.0,0.0,2.0,1.0,4.0,127.0,132.0,1.0,0.0,0.0,0.0,41.0,16.0,5.0,0.0,0.0,0.0,0.0,24.0,132.0,19.0,3.0,7.0,7.0,3.0,1.0,89.0,22.0,5.0,11.0,124.0,51.0,21.0,3.0,4.0,1.0,0.0,12.0,87.0,9.0,11.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,5.0,5.0,1.0,15.0,0.0,0.0,0.0,3.0,28.0,60.0,52.0,6.0,0.0,0.0,1.0,3.0,5.0,48.0,121.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,48.0,3.0,3.0,2.0,0.0,0.0,0.0,5.0,17.0,6.0,57.0,74.0,3.0,0.0,0.0,4.0,9.0,13.0,53.0,41.0,0.0,0.0,0.0,78.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,76.0,2.0,2.0,3.0,2.0,1.0,24.0,49.0,16.0,3.0,33.0,129.0,25.0,1.0,12.0,5.0,4.0,0.0,16.0,59.0,20.0,4.0,1.0,142.0,23.0,0.0,0.0,0.0,1.0,1.0,1.0,heart_1006.png
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,55.0,12.0,4.0,0.0,0.0,0.0,0.0,2.0,24.0,34.0,138.0,8.0,0.0,0.0,0.0,13.0,29.0,28.0,61.0,6.0,9.0,2.0,0.0,38.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,121.0,7.0,2.0,1.0,0.0,0.0,3.0,55.0,30.0,17.0,55.0,37.0,22.0,2.0,4.0,45.0,15.0,4.0,13.0,8.0,9.0,4.0,19.0,79.0,6.0,0.0,0.0,0.0,0.0,3.0,25.0,158.0,9.0,0.0,0.0,0.0,2.0,11.0,128.0,67.0,0.0,0.0,0.0,10.0,101.0,70.0,60.0,45.0,1.0,0.0,0.0,3.0,44.0,27.0,33.0,68.0,1.0,0.0,0.0,0.0,0.0,6.0,60.0,158.0,12.0,0.0,0.0,1.0,2.0,13.0,158.0,73.0,6.0,0.0,7.0,97.0,106.0,65.0,75.0,22.0,8.0,2.0,20.0,58.0,46.0,12.0,4.0,14.0,0.0,0.0,0.0,0.0,2.0,4.0,12.0,62.0,0.0,0.0,0.0,0.0,0.0,6.0,109.0,10.0,0.0,0.0,0.0,0.0,1.0,58.0,104.0,29.0,8.0,0.0,0.0,0.0,1.0,79.0,107.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,123.0,7.0,0.0,0.0,0.0,1.0,13.0,123.0,31.0,4.0,0.0,0.0,0.0,36.0,88.0,77.0,43.0,56.0,5.0,0.0,0.0,17.0,29.0,24.0,54.0,1.0,0.0,0.0,0.0,0.0,6.0,45.0,heart_1009.png
